PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,UNIT,QUANTITY LEFT,BASE PRICE LIST
VISCOF PLAIN SYRUP 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TDH5599,31/01/2027,Box,4,38.00
VALUPAK COD LIVER OIL CAP 30S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHDJDF87874,31/01/2027,gram,3,56.50
TEA TREE FACIAL SCRUB 250ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KCIDMF8555,31/01/2027,Pack,1,32.00
TEA TREE FACIAL FOAM WASH 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KDMD555,31/01/2027,Bottle,2,32.00
PARACETAMOL 500mg VEGA,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SJDH5486,31/01/2027,Tablet,0,5.00
DURAMAX LOZENGES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJGIK2595,31/01/2027,gram,0,1.50
BB COCKTAIL 330ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSV88288,31/01/2027,pc,0,12.00
MALTA GUINNESS CAN DRINK 330ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFQ18379,31/01/2027,Can,1,12.00
EPHEDRINE 1.0% HOT NASAL DROP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IY66686,31/01/2027,Bottle,2,11.00
EPHEDRINE 0.5% COLD NASAL DROP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFU6848,31/01/2027,Bottle,0,9.00
BEDIKOF ADULT COUGH SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FKUI5595,31/01/2027,Bottle,4,14.50
COTTON CREPE BANDAGE 4' WELLMED,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HDF685,31/01/2027,gram,6,7.00
LETAVIN 500MG (GRISEOFULVIN),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJO6496,31/01/2027,mg,18,13.00
MENTHOX LOZENGES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFJIOL866,31/01/2027,Tablets,0,34.00
AMYRON SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKO548,31/01/2027,Bottle,0,59.00
AMYRON  TABS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UOY5898,31/01/2027,Box,1,56.00
ENACEF CEFUROXIME 125MG/5ML SUSP 50ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VY65J99,31/01/2027,ml,8,14.00
REVODIUM 2MG CAPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6857,31/01/2026,,59,2.00
EUTHYMOL ORIGINAL TOOTHPASTE 75ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6256,31/12/2026,Piece,1,60.00
LUFART FORTE TABLETS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HG544,31/12/2026,mg,2,30.00
GACET-1GM,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGU5894,31/12/2026,,29,6.50
BORGES OLIVE OIL 500ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HDTU9865,31/12/2026,Bottle,2,177.00
K-VITA PLUS SYRUP 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ5895,31/12/2026,Bottle,1,35.00
K-BLAD TONIC 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NF54856,31/12/2026,Bottle,1,36.00
CEFOMAX (CEFUROXIME) SUSP 70ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CFH541455,31/12/2026,mg,4,28.00
CLAVUMED 625 MG TAB,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYJ5684,31/12/2026,Box,4,60.00
KK METHYLATED SPIRIT  60ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HIGL6586,31/12/2027,Bottle,10,8.50
KK METHYLATED SPIRIT 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DG4564,31/12/2026,ml,1,13.00
CASTOR OIL 70ML (AYRTONS),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HVG59846,31/12/2026,ml,0,50.00
K-BALM 9ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHJ65495,23/12/2026,ml,4,14.00
LUMIZAP TAB(20/120)24's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6556,31/12/2026,Tablet,0,8.00
FAMACOLD SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FD6347,31/12/2026,Bottle,6,17.70
HONEY WORLD 350ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,O47568,31/12/2026,Bottle,0,35.00
HONEY WORLD 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFY568,31/12/2026,Bottle,0,25.00
FLODIUM CAPSULES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFDH5954,30/11/2026,Capsule,11,2.50
AZITHROMYCIN 500MG ORANGE,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VHFGG5488,30/11/2026,Box,0,18.00
VIROL BLOOD TONIC,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJGJ5615,28/11/2026,ml,0,25.50
DIPHEX JUNIOR 100ML SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ESEDRTF54,30/11/2026,Bottle,10,21.50
HAEMOGLOBIN SYRUP AYRTON,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DGH55496,30/11/2026,ml,0,17.50
MUPIROCIN OINTMENT 30G SAMPCIPIN,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IE01,26/08/2026,Tube,0,88.40
KEFROX CEFUROXIME ORAL SUSPENSION 125MG(LUEX),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,331,26/08/2026,Bottle,1,32.20
TEMESTA LORAZEPAM 2.5MG 30'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,"FDFJ,G78846896",30/11/2027,Tablet,0,6.50
VIN-C PLUS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK4465645,30/11/2026,Bottle,1,12.50
VIN-C ASCORBIC ACID 100MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFJG45356,30/11/2026,Tab,2,2.50
VITAMIN C PLUS Z SYRUP 100ML - LONDON,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YJG5168,30/11/2026,ml,0,12.50
ALPHA VITAMIN C 1G TABS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGF54565,30/11/2026,Box,0,40.00
KK RUBBING ALCOHOL LIQ 500ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ5589,30/11/2026,Bottle,0,32.00
SUPER APETI SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DJYI8975,30/11/2026,Bottle,0,33.00
KETAZOL SHAMPOO 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJK8795,30/11/2026,Bottle,1,61.00
FLUXAMOX CAPSULES 200'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TGFTU8798,30/11/2026,Tablet,46,18.00
BENYLIN COLD&FLU CAPSULES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHT88985,30/11/2026,pc,0,106.00
NOVACEF 500MG (CEFUROXIME),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FFG7556,30/11/2026,mg,0,61.00
PENFLOX 500MG CAPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IIE8992,30/11/2026,Capsule,8,5.20
EXFORGEHCT 10MG/160MG/25MG NOVARTIS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDGU7895,30/11/2026,Tablet,0,235.00
FOLIC ACID TABS 400MCG EXETER 60'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JF88568,30/11/2026,Vial,1,25.00
ARYTON PURE COD LIVER OIL,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFY698,30/11/2026,Capsule,2,117.00
PARACETAMOL 500MG FLAMINGO 16'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GTY8975,30/11/2026,mg,0,16.80
HIGH ELASTIC  BANDAGE 6'',Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHH5894,30/11/2027,gram,4,14.00
PARA SYRUP LETAP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJFHG689,30/11/2026,Syrup,5,6.00
LEXSPORIN WOUND POWDER 10G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RUHI48975,30/11/2026,Box,0,65.00
AMOXICILLIN SUSP. M and G 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHKJ4895,30/11/2026,Bottle,3,10.50
LISTERINE COOL MINT MOUTHWASH 250ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RU8875,30/11/2026,ml,2,62.50
LETACAM PIROXICAM CAPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FDY587895,30/11/2026,Pack,17,1.50
STREPSILS SORE THROAT & COUGH LOZENGE 24'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TRH68459,30/11/2026,Tablet,0,5.20
LADINAS TABS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JF84685,30/11/2026,Tablets,6,16.00
SHALTOUX LOZENGES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,"J,F89745",31/10/2026,Container,4,1.00
ROBB INHALER,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YUJK826,31/10/2026,Pack,0,4.00
KIBUCET TABLETS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JY84566YU6,31/10/2026,Tablet,2,6.20
RIMA PLUS TRIPLE ACTION 30G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,R599F63,31/10/2026,Tube,0,18.20
ANTAGEL SUSP. 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ5981,31/10/2026,ml,0,30.80
MIKAMOL SYRUP PARACETAMOL 125ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,J58GJ669,31/10/2026,ml,3,9.00
KAMAGYL ORAL SUSP. 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,57FGGSUK6,31/10/2026,ml,4,15.20
DICLOLEX 100MG SUPPOSITORY,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,25568254,31/10/2026,gram,1,3.20
FLUCLOX CAPS 500MG 500'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,25688933,31/10/2026,ml,42,5.20
FERROUS SULPHATE TABS 500'S ECL,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGH896,31/10/2026,Tab,16,1.60
GENTA-K DROPS 10ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FU68099,31/10/2026,Drop,0,7.70
DICLOFENAC GEL 30G (KLOF),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU58763,31/10/2026,Tube,3,15.40
ACYCLOVIR-DENK CREAM 1G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHK589,31/10/2026,Tube,2,107.50
SWEET LADY SANITARY PAD,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JWUGD78289,31/10/2026,gram,1,15.00
KIDIVITE MULTIVITAMIN TONC 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TFJO56789,31/10/2026,Bottle,0,17.80
DICLOFENAC SUPPOSITORIES 100MG (REYOUNG),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFUU5678,31/10/2026,Suppository,10,3.00
LUBRIMAX ALOE JELLY 70G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFDOK677,31/10/2026,Tube,0,64.70
LUBRIMAX STRAWBERRY JELLY 70G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU8546,31/10/2026,Tube,0,64.70
GR-MOX AMOXYCILLIN CAPS 150MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,587GH2,30/09/2027,Box,13,15.00
DOXYCYCLINE 100MG CAPS 100'S (LETAP),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JIO579,30/09/2026,Tablet,3,4.80
STREPSILS EXTRA TRIPLE ACTION 16'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK57852,30/09/2026,mg,0,4.90
LAV FEMININE WASH,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK8952,30/09/2026,Box,2,49.00
GIVERS POWERS CAPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFIK4586,30/09/2026,Box,3,79.50
AMPICILLIN CAPS 250MG (LETAP),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKS8828,30/09/2027,Strp,54,3.60
TRUSTINOR 2 POSTPILL,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU57777,31/08/2026,pc,1,10.00
PALIDAR (SULPHADOXINE & PYRIMETHAMINE),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YHUK15896,31/08/2026,sachet,35,2.70
TALGENTIS-20TABS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ6896,31/08/2027,Tablet,4,22.40
AMOXYCILLIN CAPS 500MG(150) GR,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ8925,31/08/2026,Capsule,0,17.50
CLAVUMED 457 SUSP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJK89887,31/08/2026,ml,0,54.00
CLAVUMED 228.5 SUSP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK5886,31/08/2026,Syrup,0,40.00
AZITHROMYCIN 500MG TABS ZETHRO,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJY9282,31/08/2026,Box,2,18.00
AZITHROMYCIN 500MG CAPS ZITMYC,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGJ56665,31/08/2026,Box,1,25.20
CEDARCID  PLUS 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HHG866,31/08/2026,ml,0,32.00
K-KOLDE CAPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ6896,31/08/2026,Capsule,0,11.00
TYMEN ALBENDAZOLE 400MG TABLETS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJ8779,31/08/2026,Tablet,3,5.00
TYMEN ALBENDAZOLE 400MG SUSP. 20ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DF8979,31/08/2026,Bottle,1,8.00
LEVELS NATURAL CAPSULES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LVA-9967,24/03/2025,Container,1,46.00
HIMALAYA MENTAT TAB 50'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MMLLKKJDRZ000987,30/08/2027,Tab,2,80.00
Tranexamic Acid 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK753,31/08/2027,gram,20,3.50
GALPHARM IBUPROFEN MIGRAIN RELIEF,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SDFGH678R4,31/08/2025,Box,0,11.50
MUCOLEX ADULT SYRUP 125ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFY6878,31/08/2026,ml,0,45.00
BELL'S ANTACID MIXTURE,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RGHJ368,31/08/2025,Bottle,0,49.00
ADVACLAV 400MG+57MG SUSP 70ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2300004-1,25/12/2024,Bottle,0,72.00
ADVACLAV 200MG+28.5MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2202027-1,25/11/2024,Bottle,0,56.00
FEROFIX CAPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FC240101,25/12/2025,Packet,1,13.00
CO-TRIMOXAZOLE TABS 80/400MG PHYTO-RIKER,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHII0,25/10/2027,Strip,7,1.50
CEFOMAX 500MG CEFUROXIME N&A 10`S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,T3080,25/06/2025,Tablet,0,45.00
DIFLAZON CAPS 150MG (FLUCONAZOLE),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SL5260,25/03/2026,Capsule,0,81.00
KLOF GEL 30G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23002,25/10/2026,Tube,3,15.40
VIN C PLUS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VZ240403,25/03/2026,ml,3,11.00
FEROFIX TONIC 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FX240498,25/03/2026,Bottle,1,14.00
MAROFLOW+ZINC SYR,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L3037,25/07/2025,ml,0,25.00
MAROFLOW CAPS 30'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,C3018,25/07/2025,gram,0,21.00
CIPROMAX 500MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,F01005/A,25/12/2027,Strip,0,8.00
Metformin (Denk)500mg Tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MTCEPWP2214,31/07/2027,gram,60,2.00
CALAMINE LOTION 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,vvvKKIIJHGG87LL,31/07/2026,Box,0,11.00
IBUPROFEN 400MG ESKAY,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,20CQ089PP,31/07/2026,pc,6,3.00
ROBB OINTMENT,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987LO,31/07/2026,Tube,0,2.00
PARACETAMOL TABS 500mg (UK),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYBKOLO,29/07/2027,Tablet,97,5.00
OSTEOCARE LIQUID 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYBKO,31/07/2027,ml,2,118.00
PARAMED 1G SUPP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYB,31/07/2027,Suppository,0,26.00
CONGESTYL TAB 12'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312YCC,31/01/2027,Strip,7,22.50
COARTEM LUMEFANTRINE 80MG/480MG 6CS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,khhhhh1,31/01/2027,Box,13,113.00
OSTEOCARE TAB VITABIOTIC 30'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,cosjhL017F003,28/02/2027,Tablet,2,89.00
COMBATRIN TABLETS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LCM018G001,31/01/2026,Tablet,0,38.00
CALAMINE LOTION 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312YCC,28/02/2025,Bottle,0,9.00
LUFART ART/LUM 20/120MG SUSP 60ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214hjj,27/02/2027,Bottle,13,28.50
LOSARTAN 50MG TAB 28'S TEVA,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,31/03/2027,Pack,2,28.00
Bonnisan Syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BBCEPWP2214,28/02/2025,ml,0,45.00
COLD RELIEF SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MWCCWP2214,28/02/2025,pc,2,14.00
BLOOD GLUCOSE CHECK,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJKCEPWP2214,03/11/2025,gram,73,10.00
AWAKE WATER 500ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,awCCWP2214,30/11/2026,ml,13,2.50
GEBEDOL PLUS TABS 10'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ggHG02544J,31/07/2027,gram,33,5.00
EASYLIFE CALCIUM 1000MG + VITAMIN D3 1000U TABLETS 15'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UYTLLKKJDRZ000987,31/07/2027,gram,1,60.00
AZOMAX AZITHROMYCIN 500MG TAB 3'S LEK,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ABGTWOO09,31/07/2026,Tablet,0,107.00
ATWOODS BITTERS 177ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ATWOO09,31/07/2027,Bottle,2,114.00
