PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,QUANTITY LEFT,BASE PRICE LIST,QTY,Days Left,Reorder Date
enafen ibuprofen syrup 100mg/5ml 60ml ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDG74747,2027-01-31,10,19.5,1.3333333333333333,7.5,2025-03-30 05:34:40.971915
vaseline original healing jelly,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JK25451,2027-01-31,4,22.0,1.0,4.0,2025-03-27 17:34:40.971915
softcare baby wipes 80pcs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DJF5898,2027-01-31,0,25.0,1.0,0.0,2025-03-27 17:34:40.971915
cussons baby powder 200g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DKDL6998,2027-01-31,4,16.0,1.0,4.0,2025-03-27 17:34:40.971915
dental floss b/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DHI5795,2027-01-31,0,29.0,1.0,0.0,2025-03-27 17:34:40.971915
dex antibacterial wet wipes,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK885,2027-01-31,1,15.0,1.0,1.0,2025-03-27 17:34:40.971915
jozzy paste,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFH548,2027-01-31,2,12.5,1.0,2.0,2025-03-27 17:34:40.971915
kel kids toothpaste,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJKK4597,2027-01-31,1,15.0,1.0,1.0,2025-03-27 17:34:40.971915
pepsodent deep clean tooth brush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JDHD65896,2027-01-31,8,9.5,1.3333333333333333,6.0,2025-03-28 17:34:40.971915
wisdom smokers toothbrush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYTI487985,2027-01-31,9,9.5,1.0,9.0,2025-03-31 17:34:40.971915
yazz kids toothbrush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGJ5845,2027-01-31,11,4.0,1.6666666666666667,6.6,2025-03-29 07:58:40.971915
valupak cod liver oil cap 30s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHDJDF87874,2027-01-31,3,56.5,1.0,3.0,2025-03-27 17:34:40.971915
tea tree facial scrub 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KCIDMF8555,2027-01-31,1,32.0,1.0,1.0,2025-03-27 17:34:40.971915
paracetamol 500mg vega,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SJDH5486,2027-01-31,0,5.0,2.3529411764705883,0.0,2025-03-27 17:34:40.971915
duramax lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJGIK2595,2027-01-31,0,1.5,12.0,0.0,2025-03-27 17:34:40.971915
bb cocktail 330ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSV88288,2027-01-31,0,12.0,1.5,0.0,2025-03-27 17:34:40.971915
malta guinness can drink 330ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFQ18379,2027-01-31,1,12.0,1.5454545454545454,0.6470588235294118,2025-03-27 17:34:40.971915
ephedrine 0.5% cold nasal drop,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFU6848,2027-01-31,0,9.0,1.0,0.0,2025-03-27 17:34:40.971915
letavin 500mg (griseofulvin),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJO6496,2027-01-31,16,13.0,1.4,11.428571428571429,2025-04-03 03:51:49.543344
amyron syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKO548,2027-01-31,0,59.0,1.0,0.0,2025-03-27 17:34:40.971915
amyron  tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UOY5898,2027-01-31,1,56.0,2.0,0.5,2025-03-27 17:34:40.971915
revodium 2mg caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6857,2026-01-31,58,2.0,1.0,58.0,2025-05-19 17:34:40.971915
euthymol original toothpaste 75ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6256,2026-12-31,1,60.0,1.0,1.0,2025-03-27 17:34:40.971915
lufart forte tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HG544,2026-12-31,2,30.0,1.1428571428571428,1.75,2025-03-27 17:34:40.971915
gacet-1gm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGU5894,2026-12-31,29,6.5,5.5,5.2727272727272725,2025-03-28 00:07:24.608279
k-vita plus syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ5895,2026-12-31,1,35.0,1.0,1.0,2025-03-27 17:34:40.971915
k-blad tonic 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NF54856,2026-12-31,1,36.0,1.0,1.0,2025-03-27 17:34:40.971915
clavumed 625 mg tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYJ5684,2026-12-31,3,60.0,1.0,3.0,2025-03-27 17:34:40.971915
kk methylated spirit  60ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HIGL6586,2027-12-31,9,8.5,1.2857142857142858,6.999999999999999,2025-03-29 17:34:40.971915
kk methylated spirit 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DG4564,2026-12-31,1,13.0,1.125,0.8888888888888888,2025-03-27 17:34:40.971915
k-balm 9ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHJ65495,2026-12-23,4,14.0,1.1428571428571428,3.5,2025-03-27 17:34:40.971915
lumizap tab(20/120)24's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6556,2026-12-31,0,8.0,1.0,0.0,2025-03-27 17:34:40.971915
honey world 350ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,O47568,2026-12-31,10,38.0,1.0,10.0,2025-04-01 17:34:40.971915
honey world 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFY568,2026-12-31,8,25.0,1.0,8.0,2025-03-30 17:34:40.971915
flodium capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFDH5954,2026-11-30,10,2.5,2.2142857142857144,4.516129032258064,2025-03-27 17:34:40.971915
azithromycin 500mg orange,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VHFGG5488,2026-11-30,0,18.0,1.25,0.0,2025-03-27 17:34:40.971915
virol blood tonic,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJGJ5615,2026-11-28,0,25.5,1.0,0.0,2025-03-27 17:34:40.971915
diphex junior 100ml syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ESEDRTF54,2026-11-30,10,21.5,1.1111111111111112,9.0,2025-03-31 17:34:40.971915
haemoglobin syrup ayrton,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DGH55496,2026-11-30,0,17.5,1.0,0.0,2025-03-27 17:34:40.971915
mupirocin ointment 30g sampcipin,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IE01,2026-08-26,0,88.4,1.0,0.0,2025-03-27 17:34:40.971915
kefrox cefuroxime oral suspension 125mg(luex),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,331,2026-08-26,1,32.2,1.2,0.8333333333333334,2025-03-27 17:34:40.971915
vin-c plus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK4465645,2026-11-30,1,12.5,1.5,0.6666666666666666,2025-03-27 17:34:40.971915
vin-c ascorbic acid 100mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFJG45356,2026-11-30,2,2.5,2.32,0.8620689655172414,2025-03-27 17:34:40.971915
alpha vitamin c 1g tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGF54565,2026-11-30,0,40.0,1.3333333333333333,0.0,2025-03-27 17:34:40.971915
kk rubbing alcohol liq 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ5589,2026-11-30,0,32.0,1.0,0.0,2025-03-27 17:34:40.971915
super apeti syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DJYI8975,2026-11-30,0,33.0,1.0,0.0,2025-03-27 17:34:40.971915
ketazol shampoo 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJK8795,2026-11-30,0,61.0,1.0,0.0,2025-03-27 17:34:40.971915
fluxamox capsules 200's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TGFTU8798,2026-11-30,44,18.0,2.097560975609756,20.97674418604651,2025-04-12 17:01:11.669589
benylin cold&flu capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHT88985,2026-11-30,0,106.0,1.0,0.0,2025-03-27 17:34:40.971915
novacef 500mg (cefuroxime),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FFG7556,2026-11-30,0,61.0,1.0,0.0,2025-03-27 17:34:40.971915
penflox 500mg caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IIE8992,2026-11-30,8,5.2,2.25,3.5555555555555554,2025-03-27 17:34:40.971915
folic acid tabs 400mcg exeter 60's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JF88568,2026-11-30,1,25.0,1.0,1.0,2025-03-27 17:34:40.971915
paracetamol 500mg flamingo 16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GTY8975,2026-11-30,0,16.8,1.5,0.0,2025-03-27 17:34:40.971915
high elastic  bandage 6'',Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHH5894,2027-11-30,4,14.0,1.0,4.0,2025-03-27 17:34:40.971915
para syrup letap,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJFHG689,2026-11-30,5,6.0,1.0,5.0,2025-03-27 17:34:40.971915
amoxicillin susp. m and g 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHKJ4895,2026-11-30,3,10.5,1.0,3.0,2025-03-27 17:34:40.971915
listerine cool mint mouthwash 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RU8875,2026-11-30,2,62.5,1.0,2.0,2025-03-27 17:34:40.971915
letacam piroxicam caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FDY587895,2026-11-30,16,1.5,1.375,11.636363636363637,2025-04-03 08:51:02.790097
strepsils sore throat & cough lozenge 24's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TRH68459,2026-11-30,0,5.2,7.2105263157894735,0.0,2025-03-27 17:34:40.971915
ladinas tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JF84685,2026-11-30,6,16.0,1.0,6.0,2025-03-28 17:34:40.971915
shaltoux lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,"J,F89745",2026-10-31,4,1.0,13.928571428571429,0.28717948717948716,2025-03-27 17:34:40.971915
robb inhaler,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YUJK826,2026-10-31,0,4.0,1.3333333333333333,0.0,2025-03-27 17:34:40.971915
kibucet tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JY84566YU6,2026-10-31,2,6.2,1.25,1.6,2025-03-27 17:34:40.971915
rima plus triple action 30g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,R599F63,2026-10-31,0,18.2,1.0,0.0,2025-03-27 17:34:40.971915
antagel susp. 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ5981,2026-10-31,0,30.8,1.0,0.0,2025-03-27 17:34:40.971915
mikamol syrup paracetamol 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,J58GJ669,2026-10-31,3,9.0,1.0,3.0,2025-03-27 17:34:40.971915
kamagyl oral susp. 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,57FGGSUK6,2026-10-31,4,15.2,1.0,4.0,2025-03-27 17:34:40.971915
diclolex 100mg suppository,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,25568254,2026-10-31,1,3.2,4.161290322580645,0.24031007751937986,2025-03-27 17:34:40.971915
fluclox caps 500mg 500's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,25688933,2026-10-31,42,5.2,2.6666666666666665,15.75,2025-04-07 11:34:40.971915
ferrous sulphate tabs 500's ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGH896,2027-10-31,63,2.0,3.272727272727273,19.25,2025-04-10 23:34:40.971915
genta-k drops 10ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FU68099,2026-10-31,0,7.7,1.0,0.0,2025-03-27 17:34:40.971915
diclofenac gel 30g (klof),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU58763,2026-10-31,3,15.4,1.125,2.6666666666666665,2025-03-27 17:34:40.971915
sweet lady sanitary pad,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JWUGD78289,2026-10-31,1,15.0,1.2,0.8333333333333334,2025-03-27 17:34:40.971915
kidivite multivitamin tonc 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TFJO56789,2026-10-31,0,17.8,2.0,0.0,2025-03-27 17:34:40.971915
diclofenac suppositories 100mg (reyoung),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFUU5678,2026-10-31,10,3.0,4.117647058823529,2.428571428571429,2025-03-27 17:34:40.971915
lubrimax aloe jelly 70g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFDOK677,2026-10-31,0,64.7,1.0,0.0,2025-03-27 17:34:40.971915
gr-mox amoxycillin caps 150mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,587GH2,2027-09-30,13,15.0,1.1904761904761905,10.92,2025-04-02 15:39:28.971915
doxycycline 100mg caps 100's (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JIO579,2026-09-30,3,4.8,1.725,1.7391304347826086,2025-03-27 17:34:40.971915
strepsils extra triple action 16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK57852,2026-09-30,0,4.9,6.9,0.0,2025-03-27 17:34:40.971915
givers powers caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFIK4586,2026-09-30,3,79.5,1.0,3.0,2025-03-27 17:34:40.971915
ampicillin caps 250mg (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKS8828,2027-09-30,51,3.6,3.25,15.692307692307692,2025-04-07 10:11:36.356530
trustinor 2 postpill,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU57777,2026-08-31,1,10.0,2.466666666666667,0.4054054054054054,2025-03-27 17:34:40.971915
palidar (sulphadoxine & pyrimethamine),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YHUK15896,2026-08-31,35,2.7,1.0714285714285714,32.666666666666664,2025-04-24 09:34:40.971915
talgentis-20tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ6896,2027-08-31,4,22.4,1.5,2.6666666666666665,2025-03-27 17:34:40.971915
clavumed 457 susp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJK89887,2026-08-31,0,54.0,1.2,0.0,2025-03-27 17:34:40.971915
clavumed 228.5 susp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK5886,2026-08-31,0,40.0,2.0,0.0,2025-03-27 17:34:40.971915
azithromycin 500mg tabs zethro,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJY9282,2026-08-31,2,18.0,1.0,2.0,2025-03-27 17:34:40.971915
azithromycin 500mg caps zitmyc,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGJ56665,2026-08-31,1,25.2,1.1666666666666667,0.8571428571428571,2025-03-27 17:34:40.971915
cedarcid  plus 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HHG866,2026-08-31,0,32.0,1.0,0.0,2025-03-27 17:34:40.971915
k-kolde caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ6896,2026-08-31,0,11.0,1.1666666666666667,0.0,2025-03-27 17:34:40.971915
tymen albendazole 400mg tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJ8779,2026-08-31,3,5.0,1.3529411764705883,2.217391304347826,2025-03-27 17:34:40.971915
tymen albendazole 400mg susp. 20ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DF8979,2026-08-31,1,8.0,1.25,0.8,2025-03-27 17:34:40.971915
levels natural capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LVA-9967,2025-03-24,1,46.0,1.0,1.0,2025-03-27 17:34:40.971915
tranexamic acid 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK753,2027-08-31,20,3.5,6.5,3.076923076923077,2025-03-27 17:34:40.971915
galpharm ibuprofen migrain relief,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SDFGH678R4,2025-08-31,0,11.5,1.7142857142857142,0.0,2025-03-27 17:34:40.971915
mucolex adult syrup 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFY6878,2026-08-31,0,45.0,1.0,0.0,2025-03-27 17:34:40.971915
bell's antacid mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RGHJ368,2025-08-31,0,49.0,1.2,0.0,2025-03-27 17:34:40.971915
advaclav 400mg+57mg susp 70ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2300004-1,2024-12-25,0,72.0,1.0,0.0,2025-03-27 17:34:40.971915
advaclav 200mg+28.5mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2202027-1,2024-11-25,0,56.0,1.0,0.0,2025-03-27 17:34:40.971915
ferofix caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FC240101,2025-12-25,1,13.0,1.0,1.0,2025-03-27 17:34:40.971915
co-trimoxazole tabs 80/400mg phyto-riker,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHII0,2027-10-25,7,1.5,2.4594594594594597,2.846153846153846,2025-03-27 17:34:40.971915
cefomax 500mg cefuroxime n&a 10`s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,T3080,2025-06-25,0,45.0,1.0,0.0,2025-03-27 17:34:40.971915
diflazon caps 150mg (fluconazole),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SL5260,2026-03-25,0,81.0,1.0,0.0,2025-03-27 17:34:40.971915
klof gel 30g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23002,2026-10-25,3,15.4,1.1578947368421053,2.590909090909091,2025-03-27 17:34:40.971915
vin c plus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VZ240403,2026-03-25,3,11.0,1.0,3.0,2025-03-27 17:34:40.971915
ferofix tonic 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FX240498,2026-03-25,1,14.0,1.0,1.0,2025-03-27 17:34:40.971915
maroflow+zinc syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L3037,2025-07-25,0,25.0,1.0,0.0,2025-03-27 17:34:40.971915
maroflow caps 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,C3018,2025-07-25,0,21.0,1.3333333333333333,0.0,2025-03-27 17:34:40.971915
cipromax 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,F01005/A,2027-12-25,0,8.0,1.25,0.0,2025-03-27 17:34:40.971915
metformin (denk)500mg tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MTCEPWP2214,2027-07-31,60,2.0,20.755905511811022,2.890743550834598,2025-03-27 17:34:40.971915
calamine lotion 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,vvvKKIIJHGG87LL,2026-07-31,0,11.0,1.0,0.0,2025-03-27 17:34:40.971915
ibuprofen 400mg eskay,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,20CQ089PP,2026-07-31,6,3.0,1.66,3.6144578313253013,2025-03-27 17:34:40.971915
robb ointment,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987LO,2026-07-31,0,2.0,1.32,0.0,2025-03-27 17:34:40.971915
paracetamol tabs 500mg (uk),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYBKOLO,2027-07-29,87,5.0,1.9411764705882353,44.81818181818182,2025-05-06 13:12:51.881006
osteocare liquid 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYBKO,2027-07-31,2,118.0,1.0,2.0,2025-03-27 17:34:40.971915
paramed 1g supp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYB,2027-07-31,0,26.0,1.0,0.0,2025-03-27 17:34:40.971915
congestyl tab 12's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312YCC,2027-01-31,6,22.5,1.180952380952381,5.080645161290322,2025-03-27 19:30:48.713850
coartem lumefantrine 80mg/480mg 6cs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,khhhhh1,2027-01-31,11,113.0,1.1851851851851851,9.28125,2025-04-01 00:19:40.971915
osteocare tab vitabiotic 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,cosjhL017F003,2027-02-28,2,89.0,1.0,2.0,2025-03-27 17:34:40.971915
combatrin tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LCM018G001,2026-01-31,0,38.0,1.125,0.0,2025-03-27 17:34:40.971915
calamine lotion 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312YCC,2025-02-28,0,9.0,1.3103448275862069,0.0,2025-03-27 17:34:40.971915
lufart art/lum 20/120mg susp 60ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214hjj,2027-02-27,12,28.5,1.1571428571428573,10.37037037037037,2025-04-02 02:28:00.971915
losartan 50mg tab 28's teva,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2027-03-31,0,28.0,1.162162162162162,0.0,2025-03-27 17:34:40.971915
cold relief syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MWCCWP2214,2025-02-28,2,14.0,1.0,2.0,2025-03-27 17:34:40.971915
blood glucose check,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJKCEPWP2214,2025-11-03,71,10.0,1.7023809523809523,41.70629370629371,2025-05-03 10:31:44.748139
awake water 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,awCCWP2214,2026-11-30,9,2.5,2.016566265060241,4.46303211351755,2025-03-27 17:34:40.971915
gebedol plus tabs 10's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ggHG02544J,2027-07-31,33,5.0,1.8888888888888888,17.47058823529412,2025-04-09 04:52:19.795444
easylife calcium 1000mg + vitamin d3 1000u tablets 15's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UYTLLKKJDRZ000987,2027-07-31,1,60.0,1.0,1.0,2025-03-27 17:34:40.971915
