,CATEGORY,PRODUCT,DATE,CUSTOMER NAME,STATUS,INVOICE NUMBER,UNIT,QTY,UNIT PRICE,TOTAL AMOUNT,ENCOUNTER TYPE,CREATED BY
23713,Non-medical,EFPAC TABLETS,2024-02-01,,Paid,IN-OCL-028581-3,Strip,4,3.0,12.0,walk-in,Stella Anane
23725,Medical,EBONY CONDOM,2024-02-01,,Paid,IN-OCL-028572-8,Pack,1,5.0,5.0,walk-in,Stella Anane
23712,Non-medical,LONART DS,2024-02-01,,Paid,IN-OCL-028582-2,Tab,1,36.0,36.0,walk-in,Stella Anane
23710,Non-medical,RAPINOL TAB,2024-02-01,,Paid,IN-OCL-028583-0,Tab,3,2.0,6.0,walk-in,Stella Anane
23709,Non-medical,GEBEDOL EXTRA,2024-02-01,,Paid,IN-OCL-028583-0,Tab,1,8.0,8.0,walk-in,Stella Anane
23708,Non-medical,MUCOTIN CHILD SYRUP 2% 100ML,2024-02-01,,Paid,IN-OCL-028584-5,ml,1,17.0,17.0,walk-in,Stella Anane
23707,Non-medical,FUNBACT-A TRIPPLE ACTION,2024-02-01,,Paid,IN-OCL-028585-4,Tube,1,16.0,16.0,walk-in,Stella Anane
23706,Non-medical,NO.10 LIVERSALT ERN,2024-02-01,,Paid,IN-OCL-028586-2,sachet,3,2.0,6.0,walk-in,Stella Anane
23705,Non-medical,NASAL INHALER LUEX,2024-02-01,,Paid,IN-OCL-028586-2,Container,1,14.0,14.0,walk-in,Stella Anane
23704,Non-medical,Gebedol,2024-02-01,,Paid,IN-OCL-028587-5,Pack,1,5.0,5.0,walk-in,Stella Anane
23703,Non-medical,APC TABS,2024-02-01,,Paid,IN-OCL-028587-5,Tablets,1,3.0,3.0,walk-in,Stella Anane
23702,Medical,BEL-AQUA ACTIVE,2024-02-01,,Paid,IN-OCL-028587-5,Bottle,1,4.0,4.0,walk-in,Stella Anane
23701,Medical,ROUGH RIDER CONDOM FP 3',2024-02-01,,Paid,IN-OCL-028587-5,Pack,1,27.0,27.0,walk-in,Stella Anane
23700,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-01,,Paid,IN-OCL-028587-5,,6,3.0,18.0,walk-in,Stella Anane
23699,Non-medical,WORMPLEX 400 TAB,2024-02-01,,Paid,IN-OCL-028588-4,,1,15.0,15.0,walk-in,Stella Anane
23711,Non-medical,Gebedol,2024-02-01,,Paid,IN-OCL-028582-2,Pack,1,5.0,5.0,walk-in,Stella Anane
23726,Non-medical,BONAPLEX SYRUP,2024-02-01,,Paid,IN-OCL-028571-8,,1,58.0,58.0,walk-in,Stella Anane
23756,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-01,,Paid,IN-OCL-028550-7,Pack,1,5.0,5.0,walk-in,Gifty Amoah
23728,Non-medical,Folic Acid 5mg,2024-02-01,,Paid,IN-OCL-028570-7,gram,3,1.0,3.0,walk-in,Stella Anane
23727,Medical,GAUZE BANDAGE 7.5CM X 5YDS,2024-02-01,,Paid,IN-OCL-028570-7,Roll,3,2.0,6.0,walk-in,Stella Anane
23755,Medical,OTRIVINE DROPS INFANTS,2024-02-01,,Paid,IN-OCL-028551-6,Tin,1,80.0,80.0,walk-in,Gifty Amoah
23754,Non-medical,PREGNANCY TEST KITS,2024-02-01,,Paid,IN-OCL-028552-2,Box,1,5.0,5.0,walk-in,Gifty Amoah
23753,Non-medical,SHALTOUX  LOZENGES,2024-02-01,,Paid,IN-OCL-028552-2,LOZENGES,2,1.0,2.0,walk-in,Gifty Amoah
23752,Non-medical,ORS PHYTO-RIKER,2024-02-01,,Paid,IN-OCL-028553-1,gram,2,2.0,4.0,walk-in,Gifty Amoah
23751,Non-medical,CHLORPHENIRAMINE 4MG TAB 1000'S PHARMANOVA,2024-02-01,,Paid,IN-OCL-028554-0,Tablet,1,4.0,4.0,walk-in,Gifty Amoah
23750,Non-medical,Ventolin Inhaler,2024-02-01,,Paid,IN-OCL-028555-6,pc,2,104.0,208.0,walk-in,Gifty Amoah
23748,Non-medical,PREGNANCY TEST KITS,2024-02-01,,Paid,IN-OCL-028557-5,Box,1,5.0,5.0,walk-in,Gifty Amoah
23747,Non-medical,SHALTOUX  LOZENGES,2024-02-01,,Paid,IN-OCL-028558-0,LOZENGES,1,1.0,1.0,walk-in,Gifty Amoah
23746,Medical,KISS CONDOM,2024-02-01,,Paid,IN-OCL-028559-8,sachet,1,6.0,6.0,walk-in,Gifty Amoah
23745,Non-medical,DECATYLEN LOZENGES 20'S ACINO,2024-02-01,,Paid,IN-OCL-028560-4,Tablet,10,4.5,45.0,walk-in,Gifty Amoah
23744,Non-medical,FUNBACT-A TRIPPLE ACTION,2024-02-01,,Paid,IN-OCL-028561-3,Tube,1,16.0,16.0,walk-in,Gifty Amoah
23743,Non-medical,PARACETAMOL 500MG TABLETS (LOCAL),2024-02-01,,Paid,IN-OCL-028561-3,,2,2.0,4.0,walk-in,Gifty Amoah
23749,Non-medical,IMBOOST HERBAL MIXTURE 500ML,2024-02-01,,Paid,IN-OCL-028556-6,ml,1,24.0,24.0,walk-in,Gifty Amoah
23741,Non-medical,LONART DS,2024-02-01,,Paid,IN-OCL-028563-5,Tab,1,36.0,36.0,walk-in,Gifty Amoah
23742,Non-medical,MARTINS LIVER SALT LEMON,2024-02-01,,Paid,IN-OCL-028562-5,sachet,5,2.0,10.0,walk-in,Gifty Amoah
23729,Non-medical,Gebedol,2024-02-01,,Paid,IN-OCL-028570-7,Pack,1,5.0,5.0,walk-in,Stella Anane
23730,Non-medical,WORMPLEX 400 TAB,2024-02-01,,Paid,IN-OCL-028570-7,,1,15.0,15.0,walk-in,Stella Anane
23731,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-01,,Paid,IN-OCL-028570-7,,3,3.0,9.0,walk-in,Stella Anane
23732,Non-medical,VALUPAK VITAMIN E 400IU,2024-02-01,,Paid,IN-OCL-028570-7,gram,1,93.0,93.0,walk-in,Stella Anane
23734,Medical,BEL-AQUA ACTIVE,2024-02-01,,Paid,IN-OCL-028568-4,Bottle,1,4.0,4.0,walk-in,Stella Anane
23733,Non-medical,PARACETAMOL 500MG TABLETS (LOCAL),2024-02-01,,Paid,IN-OCL-028569-5,,2,2.0,4.0,walk-in,Stella Anane
23736,Non-medical,LOFNAC-100 SUPP,2024-02-01,,Paid,IN-OCL-028566-8,Suppossitory,5,2.0,10.0,walk-in,Stella Anane
23737,Non-medical,LYDIA POSTPILL,2024-02-01,,Paid,IN-OCL-028565-5,Pack,1,15.0,15.0,walk-in,Gifty Amoah
23738,Non-medical,FISHERMAN'S FRIEND LOZENGE 25G,2024-02-01,,Paid,IN-OCL-028564-0,Pack,1,19.0,19.0,walk-in,Gifty Amoah
23739,Non-medical,Menthodex 100ml Syr,2024-02-01,,Paid,IN-OCL-028564-0,ml,1,40.0,40.0,walk-in,Gifty Amoah
23740,Non-medical,ZINNAT CEFUROXIME 250MG TAB 10'S,2024-02-01,,Paid,IN-OCL-028564-0,Tablet,1,190.0,190.0,walk-in,Gifty Amoah
23735,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-01,,Paid,IN-OCL-028566-8,,3,3.0,9.0,walk-in,Stella Anane
23650,Non-medical,DOXYCYCLINE 100MG CAPS 100'S ECL,2024-02-02,,Paid,IN-OCL-028626-7,Tablet,1,5.0,5.0,walk-in,Stella Anane
23654,Non-medical,DORETA TAB,2024-02-02,,Paid,IN-OCL-028623-8,Tab,2,6.0,12.0,walk-in,Stella Anane
23651,Non-medical,SKYCEF 500,2024-02-02,,Paid,IN-OCL-028626-7,,1,42.0,42.0,walk-in,Stella Anane
23652,Non-medical,ATORVASTATIN 20MG,2024-02-02,,Paid,IN-OCL-028625-2,Strip,1,81.0,81.0,walk-in,Stella Anane
23653,Non-medical,ECL VITAMIN B COMPLEX,2024-02-02,,Paid,IN-OCL-028624-0,Bottle,3,1.0,3.0,walk-in,Stella Anane
23655,Medical,BEL-AQUA ACTIVE,2024-02-02,,Paid,IN-OCL-028621-2,Bottle,1,4.0,4.0,walk-in,Stella Anane
23662,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-02,,Paid,IN-OCL-028617-8,,4,3.0,12.0,walk-in,Stella Anane
23657,Medical,BEL-AQUA ACTIVE,2024-02-02,,Paid,IN-OCL-028619-8,Bottle,2,4.0,8.0,walk-in,Stella Anane
23658,Medical,BEL-AQUA ACTIVE,2024-02-02,,Paid,IN-OCL-028619-0,Bottle,2,4.0,8.0,walk-in,Stella Anane
23659,Non-medical,Folic Acid 5mg,2024-02-02,,Paid,IN-OCL-028618-3,gram,1,1.0,1.0,walk-in,Stella Anane
23660,Non-medical,MULTIVITAMIN TABLET,2024-02-02,,Paid,IN-OCL-028618-3,,1,1.0,1.0,walk-in,Stella Anane
23661,Medical,KISS CONDOM,2024-02-02,,Paid,IN-OCL-028618-3,sachet,3,6.0,18.0,walk-in,Stella Anane
23649,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-02,,Paid,IN-OCL-028626-7,,1,3.0,3.0,walk-in,Stella Anane
23656,Medical,BEL-AQUA ACTIVE,2024-02-02,,Paid,IN-OCL-028621-1,Bottle,1,4.0,4.0,walk-in,Stella Anane
23648,Non-medical,PREGNANCY TEST KITS,2024-02-02,,Paid,IN-OCL-028627-6,Box,2,5.0,10.0,walk-in,Stella Anane
23633,Non-medical,MR.Q,2024-02-02,,Paid,IN-OCL-028641-8,Tab,1,10.0,10.0,walk-in,Stella Anane
23646,Non-medical,SHALTOUX  LOZENGES,2024-02-02,,Paid,IN-OCL-028628-7,LOZENGES,1,1.0,1.0,walk-in,Stella Anane
23645,Non-medical,Gebedol,2024-02-02,,Paid,IN-OCL-028629-3,Pack,1,5.0,5.0,walk-in,Stella Anane
23644,Non-medical,PREGNANCY TEST KITS,2024-02-02,,Paid,IN-OCL-028630-9,Box,2,5.0,10.0,walk-in,Stella Anane
23643,Non-medical,PIRITON CHLORPHENIRAMINE 4MG 30'S,2024-02-02,,Paid,IN-OCL-028631-6,Tablet,3,4.0,12.0,walk-in,Stella Anane
23642,Non-medical,FISHERMAN'S FRIEND LOZENGE 25G,2024-02-02,,Paid,IN-OCL-028632-5,Pack,1,19.0,19.0,walk-in,Stella Anane
23640,Non-medical,FIESTA CONDOMS CLASSIC,2024-02-02,,Paid,IN-OCL-028634-7,gram,1,7.0,7.0,walk-in,Stella Anane
23639,Medical,BLOOD PRESSURE TEST,2024-02-02,,Paid,IN-OCL-028635-5,gram,1,2.0,2.0,walk-in,Stella Anane
23638,Medical,COTTON WOOL 500MG,2024-02-02,,Paid,IN-OCL-028635-3,Piece,1,60.0,60.0,walk-in,Stella Anane
23637,Medical,BLOOD PRESSURE TEST,2024-02-02,,Paid,IN-OCL-028636-4,gram,1,2.0,2.0,walk-in,Stella Anane
23636,Non-medical,PIRITON CHLORPHENIRAMINE 4MG 30'S,2024-02-02,,Paid,IN-OCL-028638-1,Tablet,10,4.0,40.0,walk-in,Stella Anane
23635,Medical,COTTON WOOL 50MG,2024-02-02,,Paid,IN-OCL-028639-6,Piece,1,12.0,12.0,walk-in,Stella Anane
23634,Non-medical,Gebedol,2024-02-02,,Paid,IN-OCL-028640-6,Pack,1,5.0,5.0,walk-in,Stella Anane
23663,Non-medical,NAKLOFEN DUO 75MG CAP 20'S,2024-02-02,,Paid,IN-OCL-028616-5,Tablet,10,5.0,50.0,walk-in,Stella Anane
23632,Medical,COTTON WOOL 500MG,2024-02-02,,Paid,IN-OCL-028642-4,Piece,1,60.0,60.0,walk-in,Stella Anane
23647,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-02,,Paid,IN-OCL-028628-7,,1,3.0,3.0,walk-in,Stella Anane
23664,Non-medical,TYLENOL EXTRA STRENGTH CAPS FOR ADULTS 100'S,2024-02-02,,Paid,IN-OCL-028615-4,gram,1,5.0,5.0,walk-in,Stella Anane
23641,Medical,GAUZE BANDAGE 7.5CM X 5YDS,2024-02-02,,Paid,IN-OCL-028633-8,Roll,1,2.0,2.0,walk-in,Stella Anane
23666,Non-medical,PERMOXYL AMOXICILIN 250MG CAP 500'S,2024-02-02,,Paid,IN-OCL-028614-9,Tablet,2,3.0,6.0,walk-in,Stella Anane
23685,Non-medical,SHALTOUX  LOZENGES,2024-02-02,,Paid,IN-OCL-028599-1,LOZENGES,2,1.0,2.0,walk-in,Stella Anane
23686,Medical,KISS CONDOM,2024-02-02,,Paid,IN-OCL-028598-3,sachet,2,6.0,12.0,walk-in,Stella Anane
23687,Non-medical,TADOL TRAMADOL 100MG CAPS 30'S,2024-02-02,,Paid,IN-OCL-028597-0,Tablet,10,9.0,90.0,walk-in,Stella Anane
23688,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-02,,Paid,IN-OCL-028596-3,Pack,1,5.0,5.0,walk-in,Stella Anane
23698,Non-medical,PREGNANCY TEST KITS,2024-02-02,,Paid,IN-OCL-028589-0,Box,2,5.0,10.0,walk-in,Stella Anane
23689,Non-medical,COLODIUM LOPERAMIDE 2MG CAP 100'S HOVID,2024-02-02,,Paid,IN-OCL-028596-3,Tablet,1,7.0,7.0,walk-in,Stella Anane
23684,Non-medical,VERMOX ORAL TABLET 500MG,2024-02-02,,Paid,IN-OCL-028600-6,,1,24.0,24.0,walk-in,Stella Anane
23690,Non-medical,LYDIA POSTPILL,2024-02-02,,Paid,IN-OCL-028595-4,Pack,1,15.0,15.0,walk-in,Stella Anane
23692,Medical,XCEL MINT CHEWING GUM,2024-02-02,,Paid,IN-OCL-028593-4,Single,2,0.5,1.0,walk-in,Stella Anane
23693,Medical,BEL-AQUA ACTIVE,2024-02-02,,Paid,IN-OCL-028593-4,Bottle,1,4.0,4.0,walk-in,Stella Anane
23695,Non-medical,EKUROBEWU,2024-02-02,,Paid,IN-OCL-028592-5,Tube,2,11.0,22.0,walk-in,Stella Anane
23696,Non-medical,NO.10 LIVERSALT ERN,2024-02-02,,Paid,IN-OCL-028591-0,sachet,3,2.0,6.0,walk-in,Stella Anane
23697,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-02,,Paid,IN-OCL-028590-4,Pack,1,5.0,5.0,walk-in,Stella Anane
23665,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-02,,Paid,IN-OCL-028615-4,Pack,2,5.0,10.0,walk-in,Stella Anane
23691,Medical,EBONY CONDOM,2024-02-02,,Paid,IN-OCL-028594-9,Pack,1,5.0,5.0,walk-in,Stella Anane
23683,Medical,GAUZE BANDAGE 7.5CM X 5YDS,2024-02-02,,Paid,IN-OCL-028601-9,Roll,1,2.0,2.0,walk-in,Stella Anane
23694,Non-medical,LYDIA POSTPILL,2024-02-02,,Paid,IN-OCL-028593-4,Pack,1,15.0,15.0,walk-in,Stella Anane
23681,Non-medical,RAPINOL TAB,2024-02-02,,Paid,IN-OCL-028602-0,Tab,1,2.0,2.0,walk-in,Stella Anane
23682,Medical,PLASTER STRIPS DIS,2024-02-02,,Paid,IN-OCL-028601-9,Strip,4,0.8,3.2,walk-in,Stella Anane
23667,Medical,XCEL MINT CHEWING GUM,2024-02-02,,Paid,IN-OCL-028613-5,Single,1,0.5,0.5,walk-in,Stella Anane
23668,Non-medical,Cetirizine Syrup (Cetrizan),2024-02-02,,Paid,IN-OCL-028612-9,ml,1,16.0,16.0,walk-in,Stella Anane
23670,Non-medical,ASMANOL TABS,2024-02-02,,Paid,IN-OCL-028611-0,Tablets,2,2.0,4.0,walk-in,Stella Anane
23671,Non-medical,DUREX FEELS CONDOMS 3'S,2024-02-02,,Paid,IN-OCL-028610-5,Piece,1,19.0,19.0,walk-in,Stella Anane
23672,Non-medical,ESCOTRIM TAB,2024-02-02,,Paid,IN-OCL-028609-5,Tablet,2,4.0,8.0,walk-in,Stella Anane
23673,Non-medical,VISCOF-S EXPECTORANT,2024-02-02,,Paid,IN-OCL-028609-5,Bottle,1,42.0,42.0,walk-in,Stella Anane
23669,Non-medical,AZILEX AZITHROMYCIN 200MG/5ML 15ML,2024-02-02,,Paid,IN-OCL-028612-9,Bottle,1,40.0,40.0,walk-in,Stella Anane
23675,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-02,,Paid,IN-OCL-028607-8,,1,3.0,3.0,walk-in,Stella Anane
23676,Non-medical,LYDIA POSTPILL,2024-02-02,,Paid,IN-OCL-028606-9,Pack,1,15.0,15.0,walk-in,Stella Anane
23677,Non-medical,FISHERMAN'S FRIEND LOZENGE 25G,2024-02-02,,Paid,IN-OCL-028605-4,Pack,1,19.0,19.0,walk-in,Stella Anane
23678,Non-medical,CONGESTYL TAB 12'S,2024-02-02,,Paid,IN-OCL-028605-4,Strip,1,21.0,21.0,walk-in,Stella Anane
23679,Non-medical,GANA BALM,2024-02-02,,Paid,IN-OCL-028604-7,Tube,1,9.0,9.0,walk-in,Stella Anane
23674,Medical,BEL-AQUA WATER M/S,2024-02-02,,Paid,IN-OCL-028608-1,ml,1,3.0,3.0,walk-in,Stella Anane
23680,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-02,,Paid,IN-OCL-028603-6,,2,3.0,6.0,walk-in,Stella Anane
23594,Non-medical,DIAZEPAM 10MG TAB 500'S ECL,2024-02-03,,Paid,IN-OCL-028669-5,Tablet,1,2.0,2.0,walk-in,Richard Addo Owusu
23595,Non-medical,NIFEDI-DENK 10 RETARD,2024-02-03,,Paid,IN-OCL-028669-5,Strip,10,1.5,15.0,walk-in,Richard Addo Owusu
23596,Non-medical,NIFEDI-DENK 20MG 100'S,2024-02-03,,Paid,IN-OCL-028669-5,Strip,10,2.0,20.0,walk-in,Richard Addo Owusu
23597,Medical,BLOOD PRESSURE TEST,2024-02-03,,Paid,IN-OCL-028668-1,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
23600,Non-medical,NO.10 LIVERSALT ERN,2024-02-03,,Paid,IN-OCL-028665-4,sachet,1,2.0,2.0,walk-in,Richard Addo Owusu
23599,Non-medical,DULCOLAX TAB 5MG,2024-02-03,,Paid,IN-OCL-028666-1,Tablet,4,3.0,12.0,walk-in,Richard Addo Owusu
23601,Medical,COTTON WOOL 50MG,2024-02-03,,Paid,IN-OCL-028664-3,Piece,1,12.0,12.0,walk-in,Richard Addo Owusu
23593,Non-medical,COA PLUS MIXTURE,2024-02-03,,Paid,IN-OCL-028670-5,ml,1,200.0,200.0,walk-in,Richard Addo Owusu
23602,Non-medical,NEO-HYCOLEX EYE/EAR DROPS 5ML,2024-02-03,,Paid,IN-OCL-028663-2,Vial,1,45.0,45.0,walk-in,Richard Addo Owusu
23598,Non-medical,GEBEDOL EXTRA,2024-02-03,,Paid,IN-OCL-028667-7,Tab,1,8.0,8.0,walk-in,Richard Addo Owusu
23592,Non-medical,AUGMENTIN 1G 14'S,2024-02-03,,Paid,IN-OCL-028671-7,,1,290.0,290.0,walk-in,Richard Addo Owusu
23585,Medical,ROUGH RIDER CONDOM FP 3',2024-02-03,,Paid,IN-OCL-028674-6,Pack,1,27.0,27.0,walk-in,Richard Addo Owusu
23590,Non-medical,CHOCHO SOAP,2024-02-03,,Paid,IN-OCL-028671-7,Piece,1,13.0,13.0,walk-in,Richard Addo Owusu
23589,Medical,AWAKE WATER 500ML,2024-02-03,,Paid,IN-OCL-028671-7,ml,1,2.0,2.0,walk-in,Richard Addo Owusu
23588,Non-medical,EASYLIFE VITAMIN C EFFERVESCENT 1000MG TAB 20'S,2024-02-03,,Paid,IN-OCL-028672-5,Tablet,1,49.0,49.0,walk-in,Richard Addo Owusu
23587,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-03,,Paid,IN-OCL-028672-5,Pack,2,5.0,10.0,walk-in,Richard Addo Owusu
23586,Non-medical,LONART DS,2024-02-03,,Paid,IN-OCL-028673-5,Tab,1,36.0,36.0,walk-in,Richard Addo Owusu
23584,Non-medical,MASCULAN DAS KONDOM VELVET LUBRICANT GEL,2024-02-03,,Paid,IN-OCL-028674-6,Tube,1,57.0,57.0,walk-in,Richard Addo Owusu
23583,Non-medical,DUREX FEELS CONDOMS 3'S,2024-02-03,,Paid,IN-OCL-028675-9,Piece,1,19.0,19.0,walk-in,Richard Addo Owusu
23582,Non-medical,EASYLIFE VITAMIN C EFFERVESCENT 1000MG TAB 20'S,2024-02-03,,Paid,IN-OCL-028676-3,Tablet,1,49.0,49.0,walk-in,Richard Addo Owusu
23581,Non-medical,VISCOF-D SYRUP 100ML,2024-02-03,,Paid,IN-OCL-028676-3,Bottle,1,42.0,42.0,walk-in,Richard Addo Owusu
23580,Medical,BEL-AQUA WATER M/S,2024-02-03,,Paid,IN-OCL-028677-6,ml,1,3.0,3.0,walk-in,Richard Addo Owusu
23603,Non-medical,SUDOCREAM 125G,2024-02-03,,Paid,IN-OCL-028662-4,Tube,1,103.0,103.0,walk-in,Richard Addo Owusu
23591,Non-medical,DEMACOT TRIPLE ACTION 0.1% CREAM 15G,2024-02-03,,Paid,IN-OCL-028671-7,Tube,1,45.0,45.0,walk-in,Richard Addo Owusu
23604,Non-medical,BONNISAN (HIMALAYA) 120ML,2024-02-03,,Paid,IN-OCL-028662-4,ml,1,49.0,49.0,walk-in,Richard Addo Owusu
23610,Non-medical,LYDIA POSTPILL,2024-02-03,,Paid,IN-OCL-028657-6,Pack,1,15.0,15.0,walk-in,Richard Addo Owusu
23606,Non-medical,LUEX CIPROLEX EYE/EAR DROPS,2024-02-03,,Paid,IN-OCL-028661-5,Container,1,27.0,27.0,walk-in,Richard Addo Owusu
23605,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-03,,Paid,IN-OCL-028661-5,Pack,1,5.0,5.0,walk-in,Richard Addo Owusu
23630,Non-medical,BLOOD GLUCOSE CHECK,2024-02-03,,Paid,IN-OCL-028644-1,gram,1,10.0,10.0,walk-in,Stella Anane
23629,Non-medical,VERMOX SUSPENSION 30ML,2024-02-03,,Paid,IN-OCL-028645-5,Bottle,1,45.0,45.0,walk-in,Stella Anane
23628,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-03,,Paid,IN-OCL-028645-5,,3,3.0,9.0,walk-in,Stella Anane
23627,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-03,,Paid,IN-OCL-028646-8,Pack,1,5.0,5.0,walk-in,Stella Anane
23626,Non-medical,LUFART DS,2024-02-03,,Paid,IN-OCL-028647-7,Tab,1,30.0,30.0,walk-in,Stella Anane
23625,Non-medical,DYMOL 50 TABS,2024-02-03,,Paid,IN-OCL-028648-7,Tablet,1,13.0,13.0,walk-in,Stella Anane
23624,Non-medical,MAGACID TABS,2024-02-03,,Paid,IN-OCL-028649-3,,4,3.0,12.0,walk-in,Stella Anane
23623,Non-medical,MAGACID 200ML,2024-02-03,,Paid,IN-OCL-028649-3,ml,1,24.0,24.0,walk-in,Stella Anane
23622,Non-medical,ORS PHYTO-RIKER,2024-02-03,,Paid,IN-OCL-028650-4,gram,4,2.0,8.0,walk-in,Stella Anane
23621,Non-medical,ZINTAB  20 DISPERSIBLE TAB,2024-02-03,,Paid,IN-OCL-028650-4,Tablet,1,2.0,2.0,walk-in,Stella Anane
23620,Non-medical,COLODIUM LOPERAMIDE 2MG CAP 100'S HOVID,2024-02-03,,Paid,IN-OCL-028650-4,Tablet,1,7.0,7.0,walk-in,Stella Anane
23631,Non-medical,CONGESTYL TAB 12'S,2024-02-03,,Paid,IN-OCL-028643-5,Strip,1,21.0,21.0,walk-in,Stella Anane
23618,Non-medical,DEL C VITAMIN C SYR 100ML,2024-02-03,,Paid,IN-OCL-028651-9,ml,2,11.0,22.0,walk-in,Stella Anane
23617,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-02-03,,Paid,IN-OCL-028651-9,Pack,2,5.0,10.0,walk-in,Stella Anane
23616,Non-medical,COLODIUM LOPERAMIDE 2MG CAP 100'S HOVID,2024-02-03,,Paid,IN-OCL-028652-8,Tablet,2,7.0,14.0,walk-in,Stella Anane
23615,Non-medical,ROOTER MIXTURE,2024-02-03,,Paid,IN-OCL-028653-0,ml,1,33.0,33.0,walk-in,Stella Anane
23614,Non-medical,DYMOL 50 TABS,2024-02-03,,Paid,IN-OCL-028654-0,Tablet,1,13.0,13.0,walk-in,Richard Addo Owusu
23613,Non-medical,FLEMING AMOXICILLIN/CLAVULANIC TABS 625MG 14'S,2024-02-03,,Paid,IN-OCL-028655-6,mg,1,66.0,66.0,walk-in,Richard Addo Owusu
23612,Non-medical,Menthodex 100ml Syr,2024-02-03,,Paid,IN-OCL-028655-6,ml,1,40.0,40.0,walk-in,Richard Addo Owusu
23611,Non-medical,JOY OINTMENT,2024-02-03,,Paid,IN-OCL-028656-7,Tube,2,10.0,20.0,walk-in,Richard Addo Owusu
23609,Non-medical,FEROGLOBIN SYRUP 200ML VITABIOTIC,2024-02-03,,Paid,IN-OCL-028658-7,Tablet,1,108.0,108.0,walk-in,Richard Addo Owusu
23608,Non-medical,WORMPLEX 400 TAB,2024-02-03,,Paid,IN-OCL-028659-3,,1,15.0,15.0,walk-in,Richard Addo Owusu
23607,Non-medical,Gebedol,2024-02-03,,Paid,IN-OCL-028660-7,Pack,1,5.0,5.0,walk-in,Richard Addo Owusu
23619,Non-medical,TRES ORIX FORTE SYR 100ML,2024-02-03,,Paid,IN-OCL-028650-4,ml,1,35.0,35.0,walk-in,Stella Anane
23542,Non-medical,Gebedol,2024-02-04,,Paid,IN-OCL-028706-5,Pack,1,5.0,5.0,walk-in,Stella Anane
23543,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-02-04,,Paid,IN-OCL-028705-9,,1,3.0,3.0,walk-in,Stella Anane
23544,Non-medical,KETAZOL 30G,2024-02-04,,Paid,IN-OCL-028704-1,Tube,1,22.0,22.0,walk-in,Stella Anane
