PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,UNIT,QUANTITY LEFT,BASE PRICE LIST
chapstick,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YRY6596,2027-03-31,Piece,4,38.0
gauze bandage 2.5cm x 5yards 12's /strip,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YYUII5466,2027-03-31,Roll,29,1.0
madar get tol 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK1546,2027-03-31,ml,2,12.0
nivea roll on 50ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGJ6166,2027-03-08,Bottle,3,38.0
tamoxifen tablets 20mg milpharm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFG5485,2027-03-31,Tablet,0,229.0
nasaline drops,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NSD24005,2026-03-31,Bottle,0,12.6
yovanny cough lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KK997,2026-02-24,Piece,47,1.0
orgazmax condoms 3's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGUJ5565,2027-02-28,Box,6,25.0
immunid vit. c syr (vega),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UK6468,2027-02-28,Syrup,2,27.5
immunid plus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGJ659+,2027-02-28,gram,1,30.0
ibucap caps 200's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK265,2027-02-28,Box,32,5.2
enafix cefixime suspension 100mg/5ml 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFF5646,2027-02-28,ml,4,35.0
gudapet syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHK69996,2027-02-28,Bottle,1,26.0
bx syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IGU6985966,2027-02-28,Bottle,2,25.0
bx syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YTU5185485,2027-02-28,Syrup,3,17.5
buttercup syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NJ526,2027-02-28,ml,1,247.0
buttercup 75ml syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YJ9999,2027-02-28,ml,2,160.0
arytons touch & go toothache solution 7ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,D5546489,2027-02-28,Box,3,63.0
pure klenz hand sanitizer 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ6566,2027-02-03,Bottle,0,38.7
pure-klenz hand sanitizer 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HH6565,2027-02-28,Bottle,0,20.0
sudocream 250g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJ4498,2027-02-28,Box,1,260.0
losartan ltp-50 50mg tabs 30's  (oa&j),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JG5965,2027-02-28,Tablet,10,14.0
paracetamol (letamol) 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NFJL485,2027-02-28,,4,10.0
amanat amlodipine 10mg (oa&j),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJ65959,2027-02-28,Pack,6,8.5
gr metformin 500 tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJ5754,2027-02-28,mg,0,1.5
paracetamol 500mg tabs 32's almus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GG+658996,2027-02-28,Box,0,25.5
valupak evening primrose 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ5496,2027-01-31,Can,2,42.5
amoxicillin 100ml suspension exeter,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDTU9556,2027-01-31,Bottle,2,18.0
amitriptyline 10mg (teva),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KK8789,2027-01-31,Tablet,3,15.0
acyclovir denk 200 25's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GYU6596,2027-01-31,Tablet,15,6.4
fanta bottle 330ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHFUJ57867,2027-01-31,Bottle,2,6.5
coca-cola bottle 300ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JDHI389474,2027-01-31,Bottle,0,6.5
bedikof child cough syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSV729,2027-01-31,ml,0,12.0
enafen ibuprofen syrup 100mg/5ml 60ml ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDG74747,2027-01-31,Bottle,10,19.5
vaseline original healing jelly,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JK25451,2027-01-31,Unit ,4,22.0
softcare baby wipes 80pcs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DJF5898,2027-01-31,sachet,0,25.0
close up mint 14og,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DNFK545,2027-01-31,Tube,2,23.5
cussons baby powder 200g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DKDL6998,2027-01-31,gram,4,16.0
dental floss b/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DHI5795,2027-01-31,pc,0,29.0
dex antibacterial wet wipes,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK885,2027-01-31,sachet,1,15.0
jozzy paste,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFH548,2027-01-31,Box,2,12.5
kel kids toothpaste,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJKK4597,2027-01-31,Tube,1,15.0
pepsodent deep clean tooth brush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JDHD65896,2027-01-31,pc,8,9.5
wisdom smokers toothbrush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYTI487985,2027-01-31,Box,9,9.5
yazz kids toothbrush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGJ5845,2027-01-31,gram,11,4.0
viscof plain syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TDH5599,2027-01-31,Box,4,38.0
valupak cod liver oil cap 30s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHDJDF87874,2027-01-31,gram,3,56.5
tea tree facial scrub 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KCIDMF8555,2027-01-31,Pack,1,32.0
tea tree facial foam wash 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KDMD555,2027-01-31,Bottle,2,32.0
paracetamol 500mg vega,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SJDH5486,2027-01-31,Tablet,0,5.0
duramax lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJGIK2595,2027-01-31,gram,0,1.5
bb cocktail 330ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSV88288,2027-01-31,pc,0,12.0
malta guinness can drink 330ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFQ18379,2027-01-31,Can,1,12.0
ephedrine 1.0% hot nasal drop,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IY66686,2027-01-31,Bottle,2,11.0
ephedrine 0.5% cold nasal drop,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFU6848,2027-01-31,Bottle,0,9.0
bedikof adult cough syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FKUI5595,2027-01-31,Bottle,4,14.5
cotton crepe bandage 4' wellmed,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HDF685,2027-01-31,gram,6,7.0
letavin 500mg (griseofulvin),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJO6496,2027-01-31,mg,16,13.0
menthox lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFJIOL866,2027-01-31,Tablets,0,34.0
amyron syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKO548,2027-01-31,Bottle,0,59.0
amyron  tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UOY5898,2027-01-31,Box,1,56.0
enacef cefuroxime 125mg/5ml susp 50ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VY65J99,2027-01-31,ml,8,14.0
revodium 2mg caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6857,2026-01-31,,58,2.0
euthymol original toothpaste 75ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6256,2026-12-31,Piece,1,60.0
lufart forte tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HG544,2026-12-31,mg,2,30.0
gacet-1gm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGU5894,2026-12-31,,29,6.5
borges olive oil 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HDTU9865,2026-12-31,Bottle,2,177.0
k-vita plus syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ5895,2026-12-31,Bottle,1,35.0
k-blad tonic 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NF54856,2026-12-31,Bottle,1,36.0
cefomax (cefuroxime) susp 70ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CFH541455,2026-12-31,mg,4,28.0
clavumed 625 mg tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYJ5684,2026-12-31,Box,3,60.0
kk methylated spirit  60ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HIGL6586,2027-12-31,Bottle,9,8.5
kk methylated spirit 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DG4564,2026-12-31,ml,1,13.0
castor oil 70ml (ayrtons),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HVG59846,2026-12-31,ml,0,50.0
k-balm 9ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHJ65495,2026-12-23,ml,4,14.0
lumizap tab(20/120)24's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FH6556,2026-12-31,Tablet,0,8.0
famacold syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FD6347,2026-12-31,Bottle,6,17.7
honey world 350ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,O47568,2026-12-31,Bottle,10,38.0
honey world 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFY568,2026-12-31,Bottle,8,25.0
flodium capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFDH5954,2026-11-30,Capsule,10,2.5
azithromycin 500mg orange,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VHFGG5488,2026-11-30,Box,0,18.0
virol blood tonic,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJGJ5615,2026-11-28,ml,0,25.5
diphex junior 100ml syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ESEDRTF54,2026-11-30,Bottle,10,21.5
haemoglobin syrup ayrton,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DGH55496,2026-11-30,ml,0,17.5
mupirocin ointment 30g sampcipin,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IE01,2026-08-26,Tube,0,88.4
kefrox cefuroxime oral suspension 125mg(luex),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,331,2026-08-26,Bottle,1,32.2
temesta lorazepam 2.5mg 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,"FDFJ,G78846896",2027-11-30,Tablet,0,6.5
vin-c plus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK4465645,2026-11-30,Bottle,1,12.5
vin-c ascorbic acid 100mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFJG45356,2026-11-30,Tab,2,2.5
vitamin c plus z syrup 100ml - london,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YJG5168,2026-11-30,ml,0,12.5
alpha vitamin c 1g tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGF54565,2026-11-30,Box,0,40.0
kk rubbing alcohol liq 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ5589,2026-11-30,Bottle,0,32.0
super apeti syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DJYI8975,2026-11-30,Bottle,0,33.0
ketazol shampoo 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJK8795,2026-11-30,Bottle,0,61.0
fluxamox capsules 200's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TGFTU8798,2026-11-30,Tablet,44,18.0
benylin cold&flu capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHT88985,2026-11-30,pc,0,106.0
novacef 500mg (cefuroxime),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FFG7556,2026-11-30,mg,0,61.0
penflox 500mg caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IIE8992,2026-11-30,Capsule,8,5.2
exforgehct 10mg/160mg/25mg novartis,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDGU7895,2026-11-30,Tablet,0,235.0
folic acid tabs 400mcg exeter 60's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JF88568,2026-11-30,Vial,1,25.0
aryton pure cod liver oil,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFY698,2026-11-30,Capsule,2,117.0
paracetamol 500mg flamingo 16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GTY8975,2026-11-30,mg,0,16.8
high elastic  bandage 6'',Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHH5894,2027-11-30,gram,4,14.0
para syrup letap,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJFHG689,2026-11-30,Syrup,5,6.0
lexsporin wound powder 10g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RUHI48975,2026-11-30,Box,0,65.0
amoxicillin susp. m and g 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHKJ4895,2026-11-30,Bottle,3,10.5
listerine cool mint mouthwash 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RU8875,2026-11-30,ml,2,62.5
letacam piroxicam caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FDY587895,2026-11-30,Pack,16,1.5
strepsils sore throat & cough lozenge 24's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TRH68459,2026-11-30,Tablet,0,5.2
ladinas tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JF84685,2026-11-30,Tablets,6,16.0
shaltoux lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,"J,F89745",2026-10-31,Container,4,1.0
robb inhaler,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YUJK826,2026-10-31,Pack,0,4.0
kibucet tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JY84566YU6,2026-10-31,Tablet,2,6.2
rima plus triple action 30g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,R599F63,2026-10-31,Tube,0,18.2
antagel susp. 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ5981,2026-10-31,ml,0,30.8
mikamol syrup paracetamol 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,J58GJ669,2026-10-31,ml,3,9.0
kamagyl oral susp. 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,57FGGSUK6,2026-10-31,ml,4,15.2
diclolex 100mg suppository,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,25568254,2026-10-31,gram,1,3.2
fluclox caps 500mg 500's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,25688933,2026-10-31,ml,42,5.2
ferrous sulphate tabs 500's ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGH896,2027-10-31,Tab,63,2.0
genta-k drops 10ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FU68099,2026-10-31,Drop,0,7.7
diclofenac gel 30g (klof),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU58763,2026-10-31,Tube,3,15.4
acyclovir-denk cream 1g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHK589,2026-10-31,Tube,4,114.0
sweet lady sanitary pad,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JWUGD78289,2026-10-31,gram,1,15.0
kidivite multivitamin tonc 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TFJO56789,2026-10-31,Bottle,0,17.8
diclofenac suppositories 100mg (reyoung),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFUU5678,2026-10-31,Suppository,10,3.0
lubrimax aloe jelly 70g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFDOK677,2026-10-31,Tube,0,64.7
lubrimax strawberry jelly 70g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU8546,2026-10-31,Tube,0,64.7
gr-mox amoxycillin caps 150mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,587GH2,2027-09-30,Box,13,15.0
doxycycline 100mg caps 100's (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JIO579,2026-09-30,Tablet,3,4.8
strepsils extra triple action 16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK57852,2026-09-30,mg,0,4.9
lav feminine wash,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK8952,2026-09-30,Box,2,49.0
givers powers caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFIK4586,2026-09-30,Box,3,79.5
ampicillin caps 250mg (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKS8828,2027-09-30,Strp,51,3.6
trustinor 2 postpill,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU57777,2026-08-31,pc,1,10.0
palidar (sulphadoxine & pyrimethamine),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YHUK15896,2026-08-31,sachet,35,2.7
talgentis-20tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ6896,2027-08-31,Tablet,4,22.4
amoxycillin caps 500mg(150) gr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ8925,2026-08-31,Capsule,0,17.5
clavumed 457 susp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJK89887,2026-08-31,ml,0,54.0
clavumed 228.5 susp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK5886,2026-08-31,Syrup,0,40.0
azithromycin 500mg tabs zethro,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJY9282,2026-08-31,Box,2,18.0
azithromycin 500mg caps zitmyc,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGJ56665,2026-08-31,Box,1,25.2
cedarcid  plus 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HHG866,2026-08-31,ml,0,32.0
k-kolde caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ6896,2026-08-31,Capsule,0,11.0
tymen albendazole 400mg tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJ8779,2026-08-31,Tablet,3,5.0
tymen albendazole 400mg susp. 20ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DF8979,2026-08-31,Bottle,1,8.0
levels natural capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LVA-9967,2025-03-24,Container,1,46.0
himalaya mentat tab 50's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MMLLKKJDRZ000987,2027-08-30,Tab,2,80.0
tranexamic acid 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGHJK753,2027-08-31,gram,20,3.5
galpharm ibuprofen migrain relief,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SDFGH678R4,2025-08-31,Box,0,11.5
mucolex adult syrup 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFY6878,2026-08-31,ml,0,45.0
bell's antacid mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RGHJ368,2025-08-31,Bottle,0,49.0
advaclav 400mg+57mg susp 70ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2300004-1,2024-12-25,Bottle,0,72.0
advaclav 200mg+28.5mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2202027-1,2024-11-25,Bottle,0,56.0
ferofix caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FC240101,2025-12-25,Packet,1,13.0
co-trimoxazole tabs 80/400mg phyto-riker,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHII0,2027-10-25,Strip,7,1.5
cefomax 500mg cefuroxime n&a 10`s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,T3080,2025-06-25,Tablet,0,45.0
diflazon caps 150mg (fluconazole),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SL5260,2026-03-25,Capsule,0,81.0
klof gel 30g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23002,2026-10-25,Tube,3,15.4
vin c plus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VZ240403,2026-03-25,ml,3,11.0
ferofix tonic 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FX240498,2026-03-25,Bottle,1,14.0
maroflow+zinc syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L3037,2025-07-25,ml,0,25.0
maroflow caps 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,C3018,2025-07-25,gram,0,21.0
cipromax 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,F01005/A,2027-12-25,Strip,0,8.0
metformin (denk)500mg tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MTCEPWP2214,2027-07-31,gram,60,2.0
calamine lotion 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,vvvKKIIJHGG87LL,2026-07-31,Box,0,11.0
ibuprofen 400mg eskay,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,20CQ089PP,2026-07-31,pc,6,3.0
robb ointment,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987LO,2026-07-31,Tube,0,2.0
paracetamol tabs 500mg (uk),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYBKOLO,2027-07-29,Tablet,87,5.0
osteocare liquid 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYBKO,2027-07-31,ml,2,118.0
paramed 1g supp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1234JIUYB,2027-07-31,Suppository,0,26.0
congestyl tab 12's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312YCC,2027-01-31,Strip,6,22.5
coartem lumefantrine 80mg/480mg 6cs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,khhhhh1,2027-01-31,Box,11,113.0
osteocare tab vitabiotic 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,cosjhL017F003,2027-02-28,Tablet,2,89.0
combatrin tablets,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LCM018G001,2026-01-31,Tablet,0,38.0
calamine lotion 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312YCC,2025-02-28,Bottle,0,9.0
lufart art/lum 20/120mg susp 60ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214hjj,2027-02-27,Bottle,12,28.5
losartan 50mg tab 28's teva,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2027-03-31,Pack,0,28.0
bonnisan syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BBCEPWP2214,2025-02-28,ml,0,45.0
cold relief syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MWCCWP2214,2025-02-28,pc,2,14.0
blood glucose check,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJKCEPWP2214,2025-11-03,gram,71,10.0
awake water 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,awCCWP2214,2026-11-30,ml,9,2.5
gebedol plus tabs 10's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ggHG02544J,2027-07-31,gram,33,5.0
easylife calcium 1000mg + vitamin d3 1000u tablets 15's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UYTLLKKJDRZ000987,2027-07-31,gram,1,60.0
azomax azithromycin 500mg tab 3's lek,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ABGTWOO09,2026-07-31,Tablet,0,107.0
atwoods bitters 177ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ATWOO09,2027-07-31,Bottle,1,114.0
ascovite cee vit. c  tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ASC0098,2027-07-31,Tablets,5,3.6
